seq_length,rmse,s_score_fusion,rmse_fusion
seq length 10,49.819875747850375,166570.542612888,49.81987555183172
seq length 30,21.761433720198532,190.58724307476007,11.636150566231086
seq length 50,17.450390935415406,107.70969796002822,8.512343978012167
seq length 70,14.737233472230772,83.75780918839142,7.114773362518303
seq length 90,13.197563200775988,80.40533562570805,6.977822009767804
seq length 110,13.204477094229489,77.18481431486386,6.830812543175226
